Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
10/4/17 12:07,28.1N,99.4E,37,14.6,-8.5,-9,7.8,1.92E+11,0.54
10/9/17 12:51,18.3S,64.1W,,,,,,3.00E+10,0.1
10/15/17 4:33,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,3.30E+10,0.11
10/23/17 15:31,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,2.40E+10,0.086
10/26/17 22:05,21.3S,177.6E,42.5,,,,,5.58E+11,1.4
11/19/17 4:17,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,2.80E+10,0.098
12/15/17 13:14,60.2N,170.0E,20,31.4,27.8,-4.7,-13.9,3.11E+12,6.4
12/29/17 12:47,14.6N,49.5W,38,,,,,1.10E+11,0.33
12/31/17 9:36,63.5S,101.3W,64.5,,,,,4.40E+10,0.15
1/6/18 18:24,39.5S,12.8E,26,,,,,3.60E+10,0.12
1/6/18 21:24,55.8N,52.5E,26,21,0.8,2.2,-20.9,2.80E+10,0.098
1/15/18 2:18,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,1.99E+11,0.56
1/22/18 22:06,14.0N,17.4W,,,,,,3.20E+10,0.11
2/1/18 12:21,19.4S,104.3E,37,16.5,8.1,-8.4,-11.7,1.90E+11,0.53
2/8/18 22:21,42.9N,179.7E,43.5,,,,,2.59E+11,0.7
2/12/18 2:15,15.9S,58.9W,,,,,,3.90E+10,0.13
2/15/18 13:38,43.8S,1.1W,50.7,,,,,2.70E+10,0.095
2/21/18 1:28,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,7.10E+10,0.22
4/7/18 3:05,72.4N,78.7W,31.5,,,,,8.60E+10,0.27
4/19/18 13:39,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,5.12E+11,1.3
4/19/18 14:02,7.5N,3.6E,30,20.9,-9.1,-2.5,18.6,7.20E+10,0.23
4/21/18 12:06,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,3.60E+10,0.12
4/30/18 13:17,45.5S,1.4W,34,13.1,8.7,-9.5,2.5,3.00E+10,0.1
5/3/18 7:23,46.9N,7.5W,39,11.5,1.3,-2.1,-11.2,3.80E+10,0.13
5/8/18 2:27,32N,60.7W,,,,,,7.30E+10,0.23
5/12/18 3:26,6.5S,173.7E,34,,,,,1.93E+11,0.54
6/2/18 16:44,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,3.75E+11,0.98
6/21/18 1:16,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1.22E+12,2.8
6/26/18 17:51,32.0N,12.1E,63,14.1,-10,-1,-9.9,2.90E+10,0.1
7/17/18 15:17,82.5N,136.7W,,,,,,2.11E+11,0.59
7/25/18 21:55,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,8.77E+11,2.1
7/27/18 9:35,58.8S,105.8E,32,,,,,1.05E+11,0.32
8/21/18 12:26,39.2S,162.9W,37,,,,,2.20E+10,0.079
8/27/18 4:36,1.7S,141.4E,33,16.1,9.8,-9.6,-8.4,2.40E+10,0.086
9/13/18 0:51,42.5N,50.1W,,,,,,4.20E+10,0.14
9/17/18 1:08,6.8S,27.8W,,,,,,1.50E+11,0.43
9/20/18 18:29,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,8.30E+10,0.26
9/25/18 0:16,34.3S,44.9E,40.7,12.5,-11,2.5,-5.5,5.30E+10,0.17
9/25/18 14:10,23.5S,56.8E,33,16.5,-16.2,2.8,0.6,8.06E+11,1.9