solar cycle,year,region,start,maximum,end
M1.0,10/20/17,2685,23:10,23:28,23:36
B9.7,1/18/18,-,7:28,7:35,7:39
B9.5,1/22/18,2696,2:37,2:57,3:20
C1.1,2/4/18,2699,20:18,20:24,20:30
B7.1,2/4/18,2699,21:10,21:15,21:18
B6.4,2/4/18,2699,19:06,19:22,19:27
B8.1,2/5/18,2699,18:18,18:24,18:26
B6.1,2/5/18,-,8:09,8:22,8:27
C1.0,2/6/18,2699,18:45,18:58,19:44
B5.6,2/6/18,2699,14:14,14:26,14:48
C8.1,2/7/18,-,13:31,13:47,13:54
C1.7,2/7/18,2699,14:35,14:39,14:44
B7.9,2/7/18,2699,0:19,0:38,0:46
B7.4,2/8/18,2699,16:51,16:59,17:21
B6.3,2/8/18,2699,20:25,20:34,20:41
B5.2,2/8/18,2699,15:20,15:30,15:35
B5.1,2/8/18,2699,19:43,19:55,20:01
B5.1,2/8/18,2699,18:39,18:45,18:50
B4.8,2/8/18,2699,21:22,21:39,21:45
B7.2,2/9/18,2699,15:40,15:47,15:52
B4.6,2/9/18,2699,16:38,16:43,16:54
C4.6,2/10/18,2699,13:02,13:21,13:36
B4.7,2/10/18,2699,21:35,21:48,21:56
B8.3,2/11/18,2699,9:50,10:03,10:14
B4.8,2/11/18,2699,1:04,1:09,1:11
C1.5,2/12/18,2699,0:15,1:35,3:21
C1.9,3/2/18,2700,10:56,11:07,11:13
B6.8,3/2/18,2700,0:30,0:52,1:17
B5.2,3/2/18,2700,5:14,5:27,5:34
B4.9,3/3/18,2700,4:01,4:07,4:12
C4.6,3/30/18,2703,7:57,8:04,8:08
B7.1,3/31/18,2703,8:59,9:11,9:23
B9.0,4/1/18,2703,12:51,13:08,13:19
B5.3,4/20/18,2706,16:55,17:04,17:12
B8.9,5/22/18,-,14:47,14:59,15:19
C2.0,5/23/18,-,18:03,18:21,18:33
B8.1,5/23/18,-,13:01,13:05,13:09
B9.8,5/24/18,2710,12:22,12:30,12:35
B4.5,5/24/18,-,6:16,6:23,6:35
C2.7,5/28/18,2712,17:04,17:10,17:12
B7.2,5/28/18,-,15:02,15:07,15:11
B7.0,5/28/18,2712,16:29,16:36,16:39
B5.2,5/28/18,-,15:57,16:01,16:05
B5.0,5/31/18,2712,0:59,1:08,1:21
B7.9,6/3/18,2712,7:53,7:56,7:58
C1.0,6/6/18,2712,10:44,11:00,11:06
B6.3,6/20/18,2715,19:28,19:35,19:39
C2.1,6/21/18,2715,1:09,1:15,1:18
B4.7,6/23/18,2713,14:35,14:38,14:40
B8.6,6/24/18,2715,1:31,1:45,1:51
C1.6,7/6/18,-,19:41,20:07,20:42