date,Ap ,00-03h,03-06h,06-09h,09-12h,12-15h,15-18h,18-21h,21-00h,Kp max,
10/11/17,28,3+,4,5-,4-,4,5-,4,4-,5-,
10/12/17,26,5,3+,4,4+,4+,3+,3,4-,5,
10/13/17,37,3-,4+,2,3+,6-,5-,6-,5+,6-,
10/14/17,30,5,4+,5-,5,4-,4,3,3-,5,
10/15/17,25,4+,5+,3-,4,4+,4-,3,1-,5+,
11/7/17,35,1-,3-,3+,5-,4-,4-,6+,6-,6+,
11/8/17,44,6-,6+,3+,4+,5,4+,3+,5-,6+,
11/10/17,20,3,3+,4-,4-,4-,4,3,3,4,
11/21/17,27,4+,5,5-,3+,3,4-,4-,4-,5,
12/5/17,28,3+,3,4,5-,5,4+,4-,4-,5,
12/17/17,23,3-,3,5-,3,3+,4-,5-,4-,5-,
1/14/18,13,5-,4,2,1+,2-,2,1,2,5-,
1/22/18,11,3,3,2,2-,1,3-,3+,3-,3+,
2/15/18,11,1,0,2,1,2+,5-,3,3-,5-,
2/17/18,11,3,4-,3,1+,3,2-,1,2+,4-,
2/18/18,13,4,2,2+,2,3,4-,2+,2+,4,
2/19/18,16,4,4,2+,2-,3-,2,4,3-,4,
2/23/18,15,2-,4-,3,4+,1+,2,3+,3-,4+,
2/27/18,18,4,5+,2-,2,4+,2+,1+,1,5+,
3/10/18,12,4,4-,3-,1+,2,1+,2+,2-,4,
3/15/18,15,4,2+,2-,3-,2-,3+,3+,4-,4,
3/16/18,18,3,4+,3-,2+,3,4,3,4-,4+,
3/17/18,14,4+,3,2+,2-,2+,2-,2+,4-,4+,
3/18/18,22,3-,2+,1-,1,3+,4-,4+,6,6,
3/19/18,14,4+,4-,3,1,2-,2,2+,3,4+,
3/23/18,15,4,3,1+,3,2,2-,4-,4-,4,
3/25/18,16,3+,4-,3,3+,2,3-,2+,4,4,
4/9/18,11,1+,1+,2,1+,2,2+,3,4+,4+,
4/10/18,17,2,4,4,3-,3+,3,2+,4-,4,
4/11/18,12,4+,4-,3,2-,1+,1-,1+,2,4+,
4/20/18,43,3+,4,6,6-,4+,5,5+,3+,6,
4/21/18,12,3,3-,3-,2,2+,3+,3,1+,3+,
5/5/18,23,1-,1-,0+,3-,4,5-,4+,6-,6-,
5/6/18,26,6-,4,3+,3-,3,2+,4+,4+,6-,
5/7/18,16,4-,4,3,2-,3,3+,2+,3+,4,
5/8/18,14,3-,3,2+,3-,3-,4-,4-,2,4-,
5/9/18,14,3+,3-,2+,2-,2+,2+,4,4-,4,
5/10/18,11,3+,3-,3,2,2,3,1-,3-,3+,
5/11/18,14,2,3+,4-,2-,3,2,4-,3+,4-,
5/31/18,12,1+,1+,1-,1+,2-,4-,4+,3,4+,
6/1/18,23,3,4-,5-,4+,5-,4-,2+,2+,5-,
6/2/18,16,3-,4,3-,2,3-,2+,4,4-,4,
6/18/18,16,4,3+,4-,3+,3,2+,2+,2,4,
6/23/18,18,2+,3+,2-,4,4,3,3+,4-,4,
6/25/18,12,1,1-,1-,2-,3-,2,3,5,5,
6/26/18,20,5-,4-,3-,4-,4-,3,3+,2,5-,
7/5/18,17,2+,1,0+,2,4-,4+,5-,4-,5-,
7/24/18,17,4-,3,3+,3-,2,3,3+,4,4,
8/11/18,10,1+,2-,2-,2-,3,2+,2,4-,4-,
8/15/18,13,2,1,2-,3-,4,3,3,3+,4,
8/16/18,10,4-,2+,2,2+,3-,1+,2-,2+,4-,
8/17/18,12,3,4,2+,2,1,0+,3+,3+,4,
8/20/18,14,4-,3+,2-,2,3-,3,4,2+,4,
8/25/18,12,1-,1,2,2+,3-,2-,4-,4+,4+,
8/26/18,67,5,7-,7+,5-,5-,6,5,3,7+,
8/27/18,25,1+,2+,3-,4-,4-,6-,5,3-,6-,
9/5/18,10,3+,3,2-,3-,3-,2-,1+,1,3+,
9/10/18,20,0+,0+,1-,2+,3-,5,4+,5,5,
9/11/18,35,4-,5,6,6-,3,3,4-,2+,6,
9/13/18,17,4,4,3,3,3,3+,2-,3,4,
9/14/18,14,4+,4,2+,2,2,2-,3-,3,4+,